Äŕňŕ;Ęîđäčíŕňű,0;;Ďëîůŕäü ďîćŕđŕ, ęě2;Ńđĺäí˙˙ ňĺěďĺđŕňóđŕ âîçäóőŕ, Ń0;Ńđĺäí˙˙ îňíîńčňĺëüíŕ˙ âëŕćíîńňü âîçäóőŕ, %;Ęîëč÷ĺńňâî îńŕäęîâ, ěě;Íŕďđŕâëĺíčĺ âĺňđŕ â 12:00;Ńđĺäí˙˙ ńęîđîńňü âĺňđŕ, ě/c;Çŕăđ˙çíĺíčĺ 137Cs, ęÁę/ě2;Ďđčěĺ÷ŕíčĺ
;ń,ř;â,ä;;;;;;;;
13.04.15;53.182172 ;33.278617 ;1,993 ;8,9;44;0;ŢÇ;1,6;;
13.04.15;52.506099 ;32.353000 ;N/A;8,9;44;0;ŢÇ;1,6;;
14.04.15;52.507999 ;32.621799 ;N/A;5,2;63,4;0,6;Ç;4,4;;
16.04.15;52.646400 ;32.735699 ;N/A;6,7;72,3;0,4;Ç;5;;
24.04.15;51.955691 ;34.342231 ;1,993 ;10,1;42,9;0;Ç;3,1;;
24.04.15;52.530800 ;33.600299 ;N/A;10,1;42,9;0;Ç;3,1;;
25.04.15;52.584277 ;32.530860 ;5,06 ;10,2;42,8;0;Ç;4,4;;
25.04.15;52.373084 ;34.185676 ;7,89 ;10,2;42,8;0;Ç;4,4;;
25.04.15;51.946381 ;34.320945 ;4,75 ;10,2;42,8;0;Ç;4,4;;
25.04.15;52.616390 ;34.314079 ;8,61 ;10,2;42,8;0;Ç;4,4;;
25.04.15;53.010239 ;33.873424 ;7,17 ;10,2;42,8;0;Ç;4,4;;
25.04.15;53.610432 ;33.196907 ;4,54 ;10,2;42,8;0;Ç;4,4;;
25.04.15;52.748000 ;32.451399 ;N/A;10,2;42,8;0;Ç;4,4;;
25.04.15;52.710099 ;33.412900 ;N/A;10,2;42,8;0;Ç;4,4;;
25.04.15;52.573699 ;33.468899 ;N/A;10,2;42,8;0;Ç;4,4;;
25.04.15;52.393199 ;33.510299 ;N/A;10,2;42,8;0;Ç;4,4;;
25.04.15;52.382599 ;33.509200 ;N/A;10,2;42,8;0;Ç;4,4;;
25.04.15;52.919700 ;34.006800 ;N/A;10,2;42,8;0;Ç;4,4;;
25.04.15;54.001500 ;33.457499 ;N/A;10,2;42,8;0;Ç;4,4;;
26.04.15;52.578019 ;32.519187 ;1,993 ;13,9;46,3;0;ŢÇ;1,9;;
26.04.15;53.005499 ;32.341000 ;N/A;13,9;46,3;0;ŢÇ;1,9;;
26.04.15;52.707600 ;32.843599 ;N/A;13,9;46,3;0;ŢÇ;1,9;;
26.04.15;52.506400 ;32.595400 ;N/A;13,9;46,3;0;ŢÇ;1,9;;
26.04.15;53.125100 ;33.065700 ;N/A;13,9;46,3;0;ŢÇ;1,9;;
26.04.15;53.145700 ;32.870500 ;N/A;13,9;46,3;0;ŢÇ;1,9;;
26.04.15;52.348900 ;34.353800 ;N/A;13,9;46,3;0;ŢÇ;1,9;;
27.04.15;51.955499 ;34.324499 ;N/A;15,4;62,3;15;Ç;1,6;;
27.04.15;53.083499 ;34.877300 ;N/A;15,4;62,3;15;Ç;1,6;;
28.04.15;52.078240 ;34.327125 ;1,993 ;17,1;51;14,3;Ţ;1,6;;
28.04.15;52.445300 ;32.937499 ;N/A;17,1;51;14,3;Ţ;1,6;;
28.04.15;52.595500 ;33.422500 ;N/A;17,1;51;14,3;Ţ;1,6;;
28.04.15;52.591700 ;33.430599 ;N/A;17,1;51;14,3;Ţ;1,6;;
28.04.15;52.584800 ;33.425100 ;N/A;17,1;51;14,3;Ţ;1,6;;
28.04.15;52.717400 ;34.412700 ;N/A;17,1;51;14,3;Ţ;1,6;;
29.04.15;52.780199 ;32.026399 ;N/A;17,1;43,6;0;Ţ;1,8;;
29.04.15;52.782600 ;32.034400 ;N/A;17,1;43,6;0;Ţ;1,8;;
29.04.15;52.771099 ;33.303500 ;N/A;17,1;43,6;0;Ţ;1,8;;
29.04.15;52.775599 ;33.324900 ;N/A;17,1;43,6;0;Ţ;1,8;;
29.04.15;53.230400 ;33.465500 ;N/A;17,1;43,6;0;Ţ;1,8;;
05.05.15;52.970899 ;34.930599 ;N/A;11,4;43,9;0;ŃÂ;1,8;;
06.05.15;53.790105 ;33.404617 ;5,4 ;12,5;40,4;0;ŃÂ;1,5;;
07.05.15;53.259462 ;33.478775 ;5,83 ;13,2;34;0;ŢÂ;2,1;;
07.05.15;53.214199 ;33.675000 ;N/A;13,2;34;0;ŢÂ;2,1;;
07.05.15;53.734300 ;33.930200 ;N/A;13,2;34;0;ŢÂ;2,1;;
09.05.15;52.871300 ;34.637500 ;N/A;14,4;48,8;0;ŃÂ;2,3;;
09.05.15;52.749700 ;33.766800 ;N/A;14,4;48,8;0;ŃÂ;2,3;;
13.05.15;52.285400 ;32.120800 ;N/A;16,2;50,6;0;ŢÇ;1,6;;
22.05.15;52.370300 ;33.494999 ;N/A;21,8;47,5;0;ŢÇ;1,4;;
25.05.15;52.973899 ;32.352099 ;N/A;17,4;71,8;0;ŃÂ;2,8;;
25.05.15;52.160700 ;31.930099 ;N/A;17,4;71,8;0;ŃÂ;2,8;;
26.05.15;52.781199 ;32.034300 ;N/A;22,4;44,1;0;ŢÂ;1,6;;
01.06.15;53.625300 ;34.389999 ;N/A;16,5;51,4;0;ŃÇ;2,4;;
08.06.15;52.792500 ;34.495100 ;N/A;21,1;54,4;0;Ç;1,8;;
26.07.15;53.562500 ;33.886099 ;N/A;25,6;55,4;0;ŢÂ;1,3;;
03.08.15;52.638063 ;34.878501 ;5,73 ;18,9;62,3;0;Ç;0,8;;
08.08.15;53.594299 ;34.108799 ;N/A;23,8;53,5;0;ŢÇ;1,3;;
08.08.15;53.596700 ;34.123800 ;N/A;23,8;53,5;0;ŢÇ;1,3;;Âĺđî˙ňíűé ňĺőíîăĺííűé čńňî÷íčę
10.08.15;53.197600 ;34.491400 ;N/A;23,6;55,5;0;Ç;0,8;;
10.08.15;53.192399 ;34.478899 ;N/A;23,6;55,5;0;Ç;0,8;;
20.08.15;52.882500 ;32.066199 ;N/A;14,3;64,4;0;Ń;2;;
20.08.15;53.161899 ;31.447400 ;N/A;14,3;64,4;0;Ń;2;;
25.08.15;53.192870 ;34.099502 ;4,4 ;16,2;47;0;ŃÂ;0,9;;
21.09.15;53.336100 ;33.384500 ;N/A;17,6;69;0;Ţ;1,9;;
21.09.15;53.486000 ;34.108099 ;N/A;17,6;69;0;Ţ;1,9;;
21.09.15;53.637900 ;34.432899 ;N/A;17,6;69;0;Ţ;1,9;;
05.10.15;52.058100 ;34.503099 ;N/A;12,9;75,3;0;Ç;1,3;;
07.10.15;52.859600 ;33.031100 ;N/A;2;65,6;0;Ń;2,8;;
07.10.15;52.856699 ;33.040899 ;N/A;2;65,6;0;Ń;2,8;;
11.10.15;53.510800 ;33.913400 ;N/A;1,8;67,1;0;ŃÇ;2;;
14.10.15;52.573199 ;33.996000 ;N/A;4,3;70,3;0;ŢÂ;0,75;;
18.10.15;52.786799 ;31.878099 ;N/A;5,1;66,1;0;Ţ;1;;
15.03.16;52.976300 ;31.624099 ;N/A;-0,1;58;0;Ń;1,8;;
15.03.16;53.582500 ;34.388399 ;N/A;-0,1;58;0;Ń;1,8;;
26.03.16;52.568003 ;32.013473 ;6,18 ;1,7;51,9;0;Â;1,6;;
26.03.16;52.564664 ;32.087631 ;3,22;1,7;51,9;0;Â;1,6;;
27.03.16;52.776185 ;31.627578 ;5,98 ;2,1;38;0;Ń;2,1;;
27.03.16;53.027300 ;31.976699 ;N/A;2,1;38;0;Ń;2,1;;
27.03.16;52.936599 ;31.688700 ;N/A;2,1;38;0;Ń;2,1;;
27.03.16;52.916200 ;31.982500 ;N/A;2,1;38;0;Ń;2,1;;
27.03.16;52.910700 ;31.997800 ;N/A;2,1;38;0;Ń;2,1;;
27.03.16;52.702100 ;32.182600 ;N/A;2,1;38;0;Ń;2,1;;
27.03.16;52.743200 ;32.971500 ;N/A;2,1;38;0;Ń;2,1;;
27.03.16;52.394800 ;32.460599 ;N/A;2,1;38;0;Ń;2,1;;
27.03.16;52.396300 ;32.464499 ;N/A;2,1;38;0;Ń;2,1;;
27.03.16;52.743200 ;32.975099 ;N/A;2,1;38;0;Ń;2,1;;
28.03.16;52.816873 ;31.611099 ;3,86 ;3,5;39,8;0;B;2,6;;
28.03.16;52.919667 ;33.326339 ;6,05 ;3,5;39,8;0;B;2,6;;
28.03.16;53.122100 ;31.677099 ;N/A;3,5;39,8;0;B;2,6;;
28.03.16;52.917199 ;31.482600 ;N/A;3,5;39,8;0;B;2,6;;
28.03.16;52.827000 ;32.135699 ;N/A;3,5;39,8;0;B;2,6;;
28.03.16;52.562300 ;32.014899 ;N/A;3,5;39,8;0;B;2,6;;
28.03.16;52.547900 ;31.995200 ;N/A;3,5;39,8;0;B;2,6;;
28.03.16;52.506400 ;31.990299 ;N/A;3,5;39,8;0;B;2,6;;
28.03.16;52.657700 ;33.062400 ;N/A;3,5;39,8;0;B;2,6;;
28.03.16;52.660800 ;33.079200 ;N/A;3,5;39,8;0;B;2,6;;
28.03.16;52.542400 ;33.298100 ;N/A;3,5;39,8;0;B;2,6;;
28.03.16;52.597700 ;33.773099 ;N/A;3,5;39,8;0;B;2,6;;
28.03.16;53.242100 ;34.407400 ;N/A;3,5;39,8;0;B;2,6;;
28.03.16;53.049600 ;33.441900 ;N/A;3,5;39,8;0;B;2,6;;
29.03.16;52.507999 ;33.191299 ;N/A;3,2;71,8;0;B;1,1;;
29.03.16;52.497200 ;33.198899 ;N/A;3,2;71,8;0;B;1,1;;
30.03.16;53.135800 ;33.753000 ;N/A;4,5;79,8;0;ŢÂ;2,1;;
03.04.16;52.688870 ;31.552047 ;4,61 ;4,9;54,3;0;ŃÇ;4,8;;
03.04.16;53.066300 ;32.322400 ;N/A;4,9;54,3;0;ŃÇ;4,8;;
03.04.16;52.956900 ;32.082199 ;N/A;4,9;54,3;0;ŃÇ;4,8;;
03.04.16;52.581299 ;33.263500 ;N/A;4,9;54,3;0;ŃÇ;4,8;;
03.04.16;52.719600 ;33.211100 ;N/A;4,9;54,3;0;ŃÇ;4,8;;
03.04.16;52.719499 ;33.214800 ;N/A;4,9;54,3;0;ŃÇ;4,8;;
03.04.16;52.663500 ;34.695799 ;N/A;4,9;54,3;0;ŃÇ;4,8;;
04.04.16;52.668887 ;31.601486 ;4,54 ;7,3;47,9;0;ŃÇ;3,4;;
04.04.16;52.049112 ;32.089004 ;8,02 ;7,3;47,9;0;ŃÇ;3,4;;
04.04.16;53.488862 ;34.337081 ;5,79 ;7,3;47,9;0;ŃÇ;3,4;;
04.04.16;53.108200 ;33.020199 ;N/A;7,3;47,9;0;ŃÇ;3,4;;
04.04.16;52.759000 ;33.152000 ;N/A;7,3;47,9;0;ŃÇ;3,4;;
04.04.16;52.359000 ;34.483499 ;N/A;7,3;47,9;0;ŃÇ;3,4;;
04.04.16;52.842300 ;34.610700 ;N/A;7,3;47,9;0;ŃÇ;3,4;;
04.04.16;53.080699 ;33.637099 ;N/A;7,3;47,9;0;ŃÇ;3,4;;
04.04.16;53.161099 ;34.030899 ;N/A;7,3;47,9;0;ŃÇ;3,4;;
04.04.16;53.158000 ;34.041200 ;N/A;7,3;47,9;0;ŃÇ;3,4;;
04.04.16;53.277800 ;34.341600 ;N/A;7,3;47,9;0;ŃÇ;3,4;;
04.04.16;53.721199 ;33.947599 ;N/A;7,3;47,9;0;ŃÇ;3,4;;
04.04.16;53.854800 ;33.549799 ;N/A;7,3;47,9;0;ŃÇ;3,4;;
04.04.16;53.726300 ;33.302199 ;N/A;7,3;47,9;0;ŃÇ;3,4;;
05.04.16;53.033781 ;32.340316 ;9,51 ;5,6;47,8;0;Ń;1,1;;
